filename,original_status,original_score,final_status,final_score,score_delta,final_decision,final_directive,enhancement_success,degradation_detected,attempts,operations,orig_focus,orig_brightness,orig_contrast,orig_noise,orig_illumination,orig_artifact,post_focus,post_brightness,post_contrast,post_noise,post_illumination,post_artifact,delta_focus,delta_brightness,delta_contrast,delta_noise,delta_illumination,delta_artifact,processing_time_s
aptos_026dcd9af143.png,BORDERLINE,0.6777,CRITICAL,0.8856,0.2079,REJECT,RECAPTURE,False,True,1,CLAHE; gamma_correction,0.7041,0.4449,0.2186,0.5222,1.0,1.0,1.0,0.9159,0.988,0.0,1.0,1.0,0.2959,0.471,0.7694,-0.5222,0.0,0.0,2.9525
aptos_07122e268a1d.png,BORDERLINE,0.8159,NON-CRITICAL,0.9513,0.1354,ACCEPT,OK TO GO,True,False,1,CLAHE,0.3257,0.9163,0.9804,1.0,1.0,1.0,1.0,0.9939,1.0,0.5222,1.0,1.0,0.6743,0.0776,0.0196,-0.4778,0.0,0.0,0.7516
aptos_0da632ca45e0.png,BORDERLINE,0.7941,NON-CRITICAL,0.844,0.0499,ACCEPT,OK TO GO,True,False,1,bilateral_denoising; gamma_correction,0.9223,0.3057,0.9631,0.5222,0.7919,1.0,0.887,0.6014,1.0,0.5222,0.8802,1.0,-0.0353,0.2957,0.0369,0.0,0.0883,0.0,1.0191
aptos_0fcfc6301f3d.png,BORDERLINE,0.7995,NON-CRITICAL,0.9468,0.1473,ACCEPT,OK TO GO,True,False,1,CLAHE,0.6714,0.9027,0.3083,1.0,1.0,1.0,1.0,0.9666,1.0,0.5222,0.9955,1.0,0.3286,0.0639,0.6917,-0.4778,-0.0045,0.0,2.4967
aptos_0fffa73e2402.png,BORDERLINE,0.7335,NON-CRITICAL,0.932,0.1985,ACCEPT,OK TO GO,True,False,1,bilateral_denoising; CLAHE,0.7271,0.699,0.2977,0.5222,1.0,1.0,1.0,0.8705,0.9949,0.5222,1.0,1.0,0.2729,0.1715,0.6972,0.0,0.0,0.0,1.6854
aptos_14ee87d6cc42.png,BORDERLINE,0.7847,NON-CRITICAL,0.7951,0.0104,ACCEPT,OK TO GO,True,False,1,gamma_correction,0.3087,0.965,1.0,1.0,1.0,1.0,0.3555,0.9558,1.0,1.0,1.0,1.0,0.0468,-0.0092,0.0,0.0,0.0,0.0,0.1317
aptos_19ef4d292196.png,BORDERLINE,0.8276,NON-CRITICAL,0.8456,0.018,ACCEPT,OK TO GO,True,False,1,gamma_correction,0.3174,0.9885,1.0,1.0,1.0,1.0,0.4242,0.9306,1.0,1.0,1.0,1.0,0.1068,-0.0579,0.0,0.0,0.0,0.0,0.8387
aptos_1e036f2e7095.png,BORDERLINE,0.7265,NON-CRITICAL,0.8018,0.0753,ACCEPT,OK TO GO,True,False,1,bilateral_denoising; gamma_correction,0.6484,0.3482,0.7344,0.5222,1.0,1.0,0.5049,0.6224,0.8827,1.0,1.0,1.0,-0.1435,0.2742,0.1483,0.4778,0.0,0.0,2.126
aptos_05113073b268.png,BORDERLINE,0.7123,CRITICAL,0.6681,-0.0442,REJECT,RECAPTURE,False,True,1,bilateral_denoising; glare_attenuation,0.6936,0.781,0.9582,0.5222,0.6857,0.0768,0.3238,0.7812,0.9585,1.0,0.6857,0.0799,-0.3698,0.0002,0.0003,0.4778,0.0,0.0031,1.9849
aptos_052d9a3fe55a.png,BORDERLINE,0.7733,NON-CRITICAL,0.8232,0.0499,ACCEPT,OK TO GO,True,False,1,gamma_correction; unsharp_masking,0.6294,0.2163,1.0,1.0,0.8376,1.0,0.738,0.6466,1.0,0.5222,0.8967,1.0,0.1086,0.4303,0.0,-0.4778,0.0591,0.0,2.1347
aptos_09935d72892b.png,BORDERLINE,0.7428,NON-CRITICAL,0.8274,0.0846,ACCEPT,OK TO GO,True,False,1,illumination_normalization; gamma_correction,0.6626,0.2893,1.0,1.0,0.5499,0.7903,0.7005,0.6789,1.0,0.5222,0.9845,1.0,0.0379,0.3896,0.0,-0.4778,0.4346,0.2097,2.0254
